id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
224517,"Brass: Birmingham",2018,1,8.40385,8.57974,50874,0,,,,,,1,,
161936,"Pandemic Legacy: Season 1",2015,2,8.36789,8.51939,55183,0,,,,,,2,1,
342942,"Ark Nova",2021,3,8.34461,8.53558,50727,0,,,,,,3,,
174430,Gloomhaven,2017,4,8.32988,8.56812,64430,0,,,,,,4,2,
233078,"Twilight Imperium: Fourth Edition",2017,5,8.23108,8.58151,25648,0,,,,,,5,4,
316554,"Dune: Imperium",2020,6,8.22587,8.4235,51243,0,,,,,,6,,
167791,"Terraforming Mars",2016,7,8.20333,8.35118,104978,0,,,,,,7,,
115746,"War of the Ring: Second Edition",2011,8,8.19095,8.54778,22924,0,,,,,,,3,1
187645,"Star Wars: Rebellion",2016,9,8.168,8.41828,34095,0,,,,,,,6,
162886,"Spirit Island",2017,10,8.14098,8.33908,56262,0,,,,,,10,,
291457,"Gloomhaven: Jaws of the Lion",2020,11,8.13503,8.40284,37186,0,,,,,,11,7,
220308,"Gaia Project",2017,12,8.10159,8.36407,28940,0,,,,,,9,,
397598,"Dune: Imperium – Uprising",2023,13,8.0639,8.71718,10529,0,,,,,,8,,
12333,"Twilight Struggle",2005,14,8.05655,8.2388,50158,0,,,,,,14,,2
182028,"Through the Ages: A New Story of Civilization",2015,15,8.0386,8.26915,32986,0,,,,,,13,,
84876,"The Castles of Burgundy",2011,16,8.01963,8.14783,65140,0,,,,,,17,,
193738,"Great Western Trail",2016,17,8.00342,8.17266,42155,0,,,,,,16,,
169786,Scythe,2016,18,7.9721,8.12437,87734,0,,,,,,22,,
246900,"Eclipse: Second Dawn for the Galaxy",2020,19,7.971,8.42628,15185,0,,,,,,15,,
173346,"7 Wonders Duel",2015,20,7.96572,8.08957,100743,0,,,,,,23,,
28720,"Brass: Lancashire",2007,21,7.96035,8.19595,25875,0,,,,,,18,,
167355,Nemesis,2018,22,7.95104,8.25832,33352,0,,,,,,,12,
266507,"Clank! Legacy: Acquisitions Incorporated",2019,23,7.94733,8.52372,10211,0,,,,,,,8,
177736,"A Feast for Odin",2016,24,7.94271,8.16789,30538,0,,,,,,20,,
295770,Frosthaven,2022,25,7.93608,8.79358,8271,0,,,,,,12,5,
124361,Concordia,2013,26,7.93447,8.08558,42377,0,,,,,,21,,
341169,"Great Western Trail: Second Edition",2021,27,7.90679,8.30236,14899,0,,,,,,19,,
